,translated,scores,compound,sentiment
0,work copyright is considered to have a positive impact on the indonesian economy after the pandemic,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.5574}",0.5574,positive
1,"to support the government's work paperwork, we are asked to focus on compiling permits","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}",0.4019,positive
2,uu create work,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.2732}",0.2732,positive
3,try to think about how people who disagree with the new uu kpk continue to use uu,"{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.3818}",-0.3818,negative
4,work creations are able to encourage investment and provide people with faster services,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.7096}",0.7096,positive
5,uu create work at all does not merukigan workers or workers tri sasono,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}",0.2732,positive
6,work creation law is able to encourage investment,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.6597}",0.6597,positive
7,"after the working copyright law and its derivative regulations are completed, the ministry is now in charge of making technical regulations","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
8,btw related to formal and material testing to mk u cancel the omnibus law also include the facts of police movement,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.25}",-0.25,negative
9,the work copyright law does not at all harm the work of the omnibuslaw workers to have a good effect,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.6956}",0.6956,positive
10,the benefits of creating work,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.5859}",0.5859,positive
11,the blessing of the work creation is optimistic the economy is recovering omnibuslaw has a good impact,"{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.8591}",0.8591,positive
12,jokowi cries out for hating foreign products director elsei is not in sync with the work copyright n,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.7184}",-0.7184,negative
13,uu copyright advanced indonesian work,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.25}",0.25,positive
14,ecosystem restoration in the work of advanced indonesians,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.25}",0.25,positive
15,the government protects oil palm through advanced indonesian work laws,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.5106}",0.5106,positive
16,"damn, why is it that i got to raise the issue of work creation, it is better to collect theoretical material than the big cases, hiksss","{'neg': 0.091, 'neu': 0.741, 'pos': 0.168, 'compound': 0.3182}",0.3182,positive
17,work creation law is present as a solution to improve the welfare of laborers in indonesia,"{'neg': 0.0, 'neu': 0.622, 'pos': 0.378, 'compound': 0.743}",0.743,positive
18,the work creation paper is present as a solution to improving the national economy in the midst of the covid pandemic,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.7351}",0.7351,positive
19,working paperwork can increase investment,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.3182}",0.3182,positive
20,uu create jobs protect local labor and limit the use of tka,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5719}",0.5719,positive
21,that danger has now become real after the official pack removed faba as a waste in the derivative rules of copyright,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.7351}",-0.7351,negative
22,benefits uu create work open job to ease try mendinglokalaja,"{'neg': 0.0, 'neu': 0.493, 'pos': 0.507, 'compound': 0.7351}",0.7351,positive
23,uu create work in no way to the detriment of workers or laborers neverendingonethestory,"{'neg': 0.135, 'neu': 0.736, 'pos': 0.129, 'compound': -0.0258}",-0.0258,neutral
24,the primary cooperative establishment groove is formed by at least nine persons in accordance with uu tent years,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
25,uu cipta kerja rakyat sejahteraaa ruanggurugiveaway,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
26,let's get the vaccine to work to help the economy and umkm recovery,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}",0.4019,positive
27,uu create work to accelerate the national economic recovery program,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}",0.2732,positive
28,"let's get vaccines, the leading cluster in work creation is the investment cluster","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}",0.2732,positive
29,the work law guarantees severance pay for workers affected by layoffs,"{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.25}",-0.25,negative
30,taxation of spdn op wna after work copyright,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
31,islamic banks get the blessings of the work invoice,"{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.5423}",0.5423,positive
32,uu copyright work to accelerate indonesia's economic recovery,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
33,with the creation of work to make workers and laborers prosperous,"{'neg': 0.0, 'neu': 0.634, 'pos': 0.366, 'compound': 0.6369}",0.6369,positive
34,dr uu kpk rkuhp smpe the work of the indonese is only noisy at the beginning of the prayer,"{'neg': 0.086, 'neu': 0.914, 'pos': 0.0, 'compound': -0.1779}",-0.1779,negative
35,uu copyright work to accelerate the recovery of the national economy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
36,uu create jobs for the advanced indonesian economy uuciptakerja,"{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.4767}",0.4767,positive
37,whether this factual case has been accommodated in the work creation either conceptually or technically,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2732}",0.2732,positive
38,"the leading cluster in work creation is the vaccine investment cluster, let's go","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}",0.2732,positive
39,"the work copyright aims to build and prosper the vaccine society, guys","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
40,"the omnibus law work aims to build and prosper the vaccine community, guys","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
41,u copyright work is important but let's get vaccines,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.1027}",0.1027,positive
