label,text,tokenize,remove_stopwords,stemming
Positive,uu cipta kerja dinilai berdampak positif bagi ekonomi indonesia paska pandemi,"['uu', 'cipta', 'kerja', 'dinilai', 'berdampak', 'positif', 'bagi', 'ekonomi', 'indonesia', 'paska', 'pandemi']","['uu', 'cipta', 'kerja', 'dinilai', 'berdampak', 'positif', 'ekonomi', 'indonesia', 'paska', 'pandemi']","['uu', 'cipta', 'kerja', 'nilai', 'dampak', 'positif', 'ekonomi', 'indonesia', 'paska', 'pandemi']"
Positive,dukung uu cipta kerja pemerintah diminta fokus susun perizinan,"['dukung', 'uu', 'cipta', 'kerja', 'pemerintah', 'diminta', 'fokus', 'susun', 'perizinan']","['dukung', 'uu', 'cipta', 'kerja', 'pemerintah', 'fokus', 'susun', 'perizinan']","['dukung', 'uu', 'cipta', 'kerja', 'perintah', 'fokus', 'susun', 'izin']"
Positive,uu cipta kerja,"['uu', 'cipta', 'kerja']","['uu', 'cipta', 'kerja']","['uu', 'cipta', 'kerja']"
Negative,coba bapak pikir gimana orang yang tidak setuju dengan uu kpk yang baru terus tetap menggunakan uu,"['coba', 'bapak', 'pikir', 'gimana', 'orang', 'yang', 'tidak', 'setuju', 'dengan', 'uu', 'kpk', 'yang', 'baru', 'terus', 'tetap', 'menggunakan', 'uu']","['coba', 'pikir', 'gimana', 'orang', 'setuju', 'uu', 'kpk', 'uu']","['coba', 'pikir', 'gimana', 'orang', 'tuju', 'uu', 'kpk', 'uu']"
Positive,uu cipta kerja mampu mendorong investasi dan memberi masyarakat layanan lebih cepat,"['uu', 'cipta', 'kerja', 'mampu', 'mendorong', 'investasi', 'dan', 'memberi', 'masyarakat', 'layanan', 'lebih', 'cepat']","['uu', 'cipta', 'kerja', 'mendorong', 'investasi', 'masyarakat', 'layanan', 'cepat']","['uu', 'cipta', 'kerja', 'dorong', 'investasi', 'masyarakat', 'layan', 'cepat']"
Neutral,uu cipta kerja sama sekali tak merukigan pekerja atau buruh tri sasono,"['uu', 'cipta', 'kerja', 'sama', 'sekali', 'tak', 'merukigan', 'pekerja', 'atau', 'buruh', 'tri', 'sasono']","['uu', 'cipta', 'kerja', 'merukigan', 'pekerja', 'buruh', 'tri', 'sasono']","['uu', 'cipta', 'kerja', 'merukigan', 'kerja', 'buruh', 'tri', 'sasono']"
Positive,uu cipta kerja mampu mendorong investasi,"['uu', 'cipta', 'kerja', 'mampu', 'mendorong', 'investasi']","['uu', 'cipta', 'kerja', 'mendorong', 'investasi']","['uu', 'cipta', 'kerja', 'dorong', 'investasi']"
Neutral,setelah uu tahun cipta kerja dan aturan turunannya selesai kini kementrian bertugas membuat peraturan tekn,"['setelah', 'uu', 'tahun', 'cipta', 'kerja', 'dan', 'aturan', 'turunannya', 'selesai', 'kini', 'kementrian', 'bertugas', 'membuat', 'peraturan', 'tekn']","['uu', 'cipta', 'kerja', 'aturan', 'turunannya', 'selesai', 'kementrian', 'bertugas', 'peraturan', 'tekn']","['uu', 'cipta', 'kerja', 'atur', 'turun', 'selesai', 'tri', 'tugas', 'atur', 'tekn']"
Negative,btw terkait pengujian formil dan materil ke mk u batalkan omnibus law sertakan juga fakta penggerakan polisi,"['btw', 'terkait', 'pengujian', 'formil', 'dan', 'materil', 'ke', 'mk', 'u', 'batalkan', 'omnibus', 'law', 'sertakan', 'juga', 'fakta', 'penggerakan', 'polisi']","['btw', 'terkait', 'pengujian', 'formil', 'materil', 'mk', 'u', 'batalkan', 'omnibus', 'law', 'sertakan', 'fakta', 'penggerakan', 'polisi']","['btw', 'kait', 'uji', 'formil', 'materil', 'mk', 'u', 'batal', 'omnibus', 'law', 'serta', 'fakta', 'gera', 'polisi']"
Positive,uu cipta kerja sama sekali tak merugikan pekerjaan buruh omnibuslawberdampakbaik,"['uu', 'cipta', 'kerja', 'sama', 'sekali', 'tak', 'merugikan', 'pekerjaan', 'buruh', 'omnibuslawberdampakbaik']","['uu', 'cipta', 'kerja', 'merugikan', 'pekerjaan', 'buruh', 'omnibuslawberdampakbaik']","['uu', 'cipta', 'kerja', 'rugi', 'kerja', 'buruh', 'omnibuslawberdampakbaik']"
Positive,manfaat uu cipta kerja ciptakerja,"['manfaat', 'uu', 'cipta', 'kerja', 'ciptakerja']","['manfaat', 'uu', 'cipta', 'kerja', 'ciptakerja']","['manfaat', 'uu', 'cipta', 'kerja', 'ciptakerja']"
Positive,berkah uu cipta kerja optimis ekonomi pulih omnibuslawberdampakbaik,"['berkah', 'uu', 'cipta', 'kerja', 'optimis', 'ekonomi', 'pulih', 'omnibuslawberdampakbaik']","['berkah', 'uu', 'cipta', 'kerja', 'optimis', 'ekonomi', 'pulih', 'omnibuslawberdampakbaik']","['berkah', 'uu', 'cipta', 'kerja', 'optimis', 'ekonomi', 'pulih', 'omnibuslawberdampakbaik']"
Negative,jokowi serukan benci produk luar negeri direktur elsei tidak sinkron dengan uu cipta kerja n,"['jokowi', 'serukan', 'benci', 'produk', 'luar', 'negeri', 'direktur', 'elsei', 'tidak', 'sinkron', 'dengan', 'uu', 'cipta', 'kerja', 'n']","['jokowi', 'serukan', 'benci', 'produk', 'negeri', 'direktur', 'elsei', 'sinkron', 'uu', 'cipta', 'kerja', 'n']","['jokowi', 'seru', 'benci', 'produk', 'negeri', 'direktur', 'elsei', 'sinkron', 'uu', 'cipta', 'kerja', 'n']"
Positive,uu cipta kerja indoensia maju,"['uu', 'cipta', 'kerja', 'indoensia', 'maju']","['uu', 'cipta', 'kerja', 'indoensia', 'maju']","['uu', 'cipta', 'kerja', 'indoensia', 'maju']"
Positive,restorasi ekosistem dalam uu cipta kerja indoensia maju,"['restorasi', 'ekosistem', 'dalam', 'uu', 'cipta', 'kerja', 'indoensia', 'maju']","['restorasi', 'ekosistem', 'uu', 'cipta', 'kerja', 'indoensia', 'maju']","['restorasi', 'ekosistem', 'uu', 'cipta', 'kerja', 'indoensia', 'maju']"
Positive,pemerintah melindungi kelapa sawit melalui uu cipta kerja indoensia maju,"['pemerintah', 'melindungi', 'kelapa', 'sawit', 'melalui', 'uu', 'cipta', 'kerja', 'indoensia', 'maju']","['pemerintah', 'melindungi', 'kelapa', 'sawit', 'uu', 'cipta', 'kerja', 'indoensia', 'maju']","['perintah', 'lindung', 'kelapa', 'sawit', 'uu', 'cipta', 'kerja', 'indoensia', 'maju']"
Positive,sial bgt dah kenapa kebagiannya ngangkat isu uu cipta kerja lebih enak ngumpulin materi teori dibanding kasus besar kek gini hikssss,"['sial', 'bgt', 'dah', 'kenapa', 'kebagiannya', 'ngangkat', 'isu', 'uu', 'cipta', 'kerja', 'lebih', 'enak', 'ngumpulin', 'materi', 'teori', 'dibanding', 'kasus', 'besar', 'kek', 'gini', 'hikssss']","['sial', 'bgt', 'dah', 'kebagiannya', 'ngangkat', 'isu', 'uu', 'cipta', 'kerja', 'enak', 'ngumpulin', 'materi', 'teori', 'dibanding', 'kek', 'gini', 'hikssss']","['sial', 'bgt', 'dah', 'bagi', 'ngangkat', 'isu', 'uu', 'cipta', 'kerja', 'enak', 'ngumpulin', 'materi', 'teori', 'banding', 'kek', 'gin', 'hikssss']"
Positive,uu cipta kerja hadir sebagai solusi untuk meningkatkan kesejahteraan para pekerja buruh di indonesia,"['uu', 'cipta', 'kerja', 'hadir', 'sebagai', 'solusi', 'untuk', 'meningkatkan', 'kesejahteraan', 'para', 'pekerja', 'buruh', 'di', 'indonesia']","['uu', 'cipta', 'kerja', 'hadir', 'solusi', 'meningkatkan', 'kesejahteraan', 'pekerja', 'buruh', 'indonesia']","['uu', 'cipta', 'kerja', 'hadir', 'solusi', 'tingkat', 'sejahtera', 'kerja', 'buruh', 'indonesia']"
Positive,uu cipta kerja hadir sebagai solusi untuk meningkatkan perekonomian nasional ditengah tengah pandemi covid,"['uu', 'cipta', 'kerja', 'hadir', 'sebagai', 'solusi', 'untuk', 'meningkatkan', 'perekonomian', 'nasional', 'ditengah', 'tengah', 'pandemi', 'covid']","['uu', 'cipta', 'kerja', 'hadir', 'solusi', 'meningkatkan', 'perekonomian', 'nasional', 'ditengah', 'pandemi', 'covid']","['uu', 'cipta', 'kerja', 'hadir', 'solusi', 'tingkat', 'ekonomi', 'nasional', 'tengah', 'pandemi', 'covid']"
Positive,uu cipta kerja dapat meningkatkan invetasi,"['uu', 'cipta', 'kerja', 'dapat', 'meningkatkan', 'invetasi']","['uu', 'cipta', 'kerja', 'meningkatkan', 'invetasi']","['uu', 'cipta', 'kerja', 'tingkat', 'invetasi']"
Positive,uu cipta kerja lindungi tenaga kerja lokal dan membatasi penggunaan tka,"['uu', 'cipta', 'kerja', 'lindungi', 'tenaga', 'kerja', 'lokal', 'dan', 'membatasi', 'penggunaan', 'tka']","['uu', 'cipta', 'kerja', 'lindungi', 'tenaga', 'kerja', 'lokal', 'membatasi', 'penggunaan', 'tka']","['uu', 'cipta', 'kerja', 'lindung', 'tenaga', 'kerja', 'lokal', 'batas', 'guna', 'tka']"
